Identifier,DataFile,Points,High point X,High point Y,High point elevation
17,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000017.lda,8545,413041,5281101.494,325.223999
18,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000018.lda,24437,412904.544,5280945.26,306.981995
19,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000019.lda,3401,412897.675,5280944.638,306.674988
20,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000020.lda,144,413077.238,5280778.677,226.453003
21,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000021.lda,1496,413053.76,5281099.599,319.451996
22,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000022.lda,8796,412902.619,5280976.574,318.553986
23,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000023.lda,55923,412930.627,5280989.553,318.877991
24,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000024.lda,46398,413137.58,5280884.705,239.237
25,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000025.lda,141503,413061.019,5280944.424,286.580994
26,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000026.lda,229,413031.77,5281106.193,323.647003
27,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000027.lda,110766,413129.222,5280880.9,241.772995
28,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000028.lda,36543,413148.356,5280948.527,250.891998
29,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000029.lda,21194,412905.068,5280950.392,307.063995
30,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000030.lda,10843,413046.73,5281098.033,320.641998
31,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000031.lda,314,412895.164,5280949.959,307.851013
32,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000032.lda,18431,412908.452,5280965.406,313.424011
33,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000033.lda,15303,412916.213,5280994.474,323.64801
34,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000034.lda,3952,413050.18,5281100.198,318.054993
35,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000035.lda,31178,412915.32,5280932.669,296.052002
36,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000036.lda,468,412896.754,5280948.749,302.687012
37,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000037.lda,32605,412928.191,5280976.03,312.920013
38,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000038.lda,111309,413104.507,5280883.778,257.410004
39,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000039.lda,249,412898.968,5280942.88,300.395996
40,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000040.lda,45395,413112.653,5280994.683,273.447998
41,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000041.lda,72967,413092.551,5281012.669,282.89801
42,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000042.lda,20367,413045.259,5281092.131,321.877014
43,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000043.lda,49,413051.512,5281102.339,315.052002
44,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000044.lda,90104,413020.586,5280942.764,304.615997
45,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000045.lda,108164,413098.402,5280957.523,281.843994
46,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000046.lda,38877,412912.79,5280966.459,312.411987
47,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000047.lda,24919,413087.13,5281051.126,288.987
48,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000048.lda,7991,413054.62,5281093.935,315.450989
49,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000049.lda,67770,413142.765,5280904.315,240.257996
50,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000050.lda,3307,412905.101,5280978.931,317.039001
51,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000051.lda,5,413150.16,5280981.984,243.703003
52,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000052.lda,100420,413066.072,5281023.139,298.466003
53,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000053.lda,90383,413046.594,5281025.503,310.523987
54,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000054.lda,81586,413050.556,5280910.943,286.994995
55,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000055.lda,112534,413071.734,5280911.886,279.205994
56,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000056.lda,7631,412904.098,5280958.987,308.536987
57,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000057.lda,5032,412903.883,5280964.763,310.125
58,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000058.lda,88404,413078.888,5280987.743,294.571991
59,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000059.lda,36977,412928.679,5280998.29,321.378998
60,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000060.lda,66483,413089.939,5280999.244,285.303986
61,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000061.lda,2228,413032.973,5281104.187,322.181
62,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000062.lda,37970,413106.099,5280819.804,235.526993
63,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000063.lda,93267,413092.534,5280898.053,264.355988
64,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000064.lda,117,412902.568,5280933.835,289.157013
65,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000065.lda,165919,413035.419,5280945.293,301.123993
66,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000066.lda,2000,413029.364,5281101.702,324.492004
67,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000067.lda,47805,413149.063,5280881.673,229.764008
68,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000068.lda,2955,412896.889,5280976.732,312.562012
69,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000069.lda,14259,412908.636,5280980.352,319.112
70,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000070.lda,71129,413057.79,5281034.79,299.32901
71,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000071.lda,19891,413149.358,5280969.416,242.468002
72,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000072.lda,9490,413032.673,5281098.102,324.817993
73,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000073.lda,93117,413105.077,5280877.587,255.574005
74,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000074.lda,39450,413155.189,5280924.867,239.317001
75,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000075.lda,82601,413055.376,5280936.943,287.653015
76,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000076.lda,50896,412929.865,5280970.519,306.363007
77,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000077.lda,7768,412907.319,5280983.658,318.727997
78,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000078.lda,8183,413023.581,5281096.731,326.903015
79,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000079.lda,34099,412928.878,5280880.873,260.247986
80,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000080.lda,18161,412920.696,5280909.673,278.768005
81,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000081.lda,76545,413084.156,5280913.508,268.589996
82,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000082.lda,17778,412912.203,5280929.311,292.216003
83,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000083.lda,24406,412907.829,5280935.648,295.992004
84,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000084.lda,10942,412908.003,5280962.153,308.850006
85,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000085.lda,118201,413097.364,5280971.904,277.980988
86,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000086.lda,16275,412914.205,5280988.923,322.19101
87,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000087.lda,35257,412933.653,5280994.989,316.748993
88,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000088.lda,63318,413081.523,5280997.197,290.920013
89,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000089.lda,80797,413077.467,5281001.52,294.01001
90,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000090.lda,83182,413007.755,5281005.607,326.463013
91,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000091.lda,68523,413070.697,5281014.041,297.511993
92,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000092.lda,63601,413074.603,5280825.749,253.343994
93,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000093.lda,27320,413153.137,5280947.517,244.636002
94,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000094.lda,23638,413151.692,5280964.531,243.244995
95,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000095.lda,146203,413084.627,5280966.811,287.947998
96,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000096.lda,93787,413012.341,5280990.863,320.377991
97,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000097.lda,12996,412917.108,5280991.737,321.519012
98,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000098.lda,53325,413116.038,5280991.255,269.84201
99,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000099.lda,102272,413075.936,5281018.64,291.937988
100,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000100.lda,31470,413107.102,5281031.989,275.437988
101,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000101.lda,83244,413044.777,5281032.556,309.371002
102,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000102.lda,62134,413015.865,5281048.708,323.235992
104,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000104.lda,7,413028.423,5281103.226,319.916992
105,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000105.lda,79826,413022.297,5280918.814,297.559998
106,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000106.lda,40111,412918.492,5280925.823,288.355011
107,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000107.lda,51507,413057.832,5280932.09,285.227997
108,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000108.lda,28112,413143.982,5280955.227,250.951996
109,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000109.lda,19212,412908.976,5280957.772,307.639008
110,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000110.lda,36514,413129.997,5280974.048,254.085007
111,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000111.lda,35846,412918.537,5280982.1,320.011993
112,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000112.lda,69214,413102.099,5280985.872,277.925995
113,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000113.lda,51070,413107.855,5280996.191,273.203003
114,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000114.lda,93862,413106.491,5280863.595,255.016006
115,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000115.lda,106410,413122.593,5280912.105,256.015991
116,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000116.lda,55166,413060.694,5280939.013,282.579987
117,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000117.lda,30581,413136.638,5280969.425,250.535995
118,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000118.lda,33373,413143.266,5280979.684,244.460007
119,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000119.lda,57597,413092.972,5281003.51,280.716003
120,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000120.lda,629,413045.053,5281101.402,316.622009
121,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000121.lda,122529,413057.525,5280830.047,263.779999
122,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000122.lda,80161,413103.346,5280856.15,254.039993
123,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000123.lda,75176,413095.999,5280891.165,260.717987
124,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000124.lda,41687,413143.994,5280894.181,236.598999
125,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000125.lda,100525,413071.384,5280906.601,277.260986
126,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000126.lda,12720,413181.72,5280910.922,216.044006
127,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000127.lda,24068,412910.949,5280925.391,289.595001
128,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000128.lda,77299,413011.865,5280939.751,305.368011
129,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000129.lda,33526,413140.643,5280953.402,253.190002
130,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000130.lda,69838,412931.762,5280958.539,297.73999
131,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000131.lda,86661,413113.887,5280960.874,268.588989
132,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000132.lda,51972,413086.004,5281004.393,285.963989
133,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000133.lda,85975,413055.663,5281020.547,304.578003
134,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000134.lda,64352,413039.841,5281043.893,305.756012
135,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000135.lda,17661,413083.172,5281063.548,296.621002
136,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000136.lda,51249,413063.884,5281065.337,301.589996
137,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000137.lda,21633,413055.188,5281082.832,312.631989
138,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000138.lda,3,413023.073,5281098.385,324.230988
139,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000139.lda,520,413024.787,5281099.501,324.002991
140,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000140.lda,69233,413122.157,5280858.965,242.824997
141,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000141.lda,86214,413117.007,5280881.353,244.953003
142,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000142.lda,77577,413100.489,5280895.293,255.416
143,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000143.lda,57840,413071.84,5280920.616,276.292999
144,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000144.lda,78733,413127.319,5280920.476,254.617996
145,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000145.lda,91601,413048.403,5280922.694,289.210999
146,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000146.lda,56805,413122.665,5280923.282,258.970001
147,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000147.lda,49877,413015.437,5280942.298,303.40799
148,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000148.lda,20216,412910.569,5280953.366,307.522003
149,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000149.lda,30592,412913.429,5280977.286,317.502014
150,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000150.lda,62655,413103.951,5280992.597,275.893005
151,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000151.lda,27796,413117.466,5280998.604,265.760986
152,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000152.lda,34766,413061.026,5281068.536,305.126007
153,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000153.lda,11664,412925.35,5280887.747,263.963989
154,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000154.lda,53862,413080.822,5280910.691,270.787994
155,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000155.lda,82276,413071.252,5280933.37,274.01001
156,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000156.lda,75896,413048.904,5281013.283,309.428986
157,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000157.lda,27219,413087.712,5281044.849,281.621002
158,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000158.lda,45456,413144.74,5280885.462,231.479996
159,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000159.lda,42921,413148.849,5280894.186,232.440994
160,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000160.lda,43889,413137.075,5280902.938,242.899002
161,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000161.lda,66778,413131.013,5280911.149,248.154999
162,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000162.lda,93424,413030.07,5280912.122,292.394012
163,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000163.lda,61110,413043.881,5280920.953,289.01001
164,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000164.lda,59890,413118.418,5280926.684,262.532013
165,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000165.lda,33029,412928.598,5280927.093,282.165009
166,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000166.lda,46302,413151.936,5280929.505,240.878998
167,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000167.lda,16169,413163.386,5280928.943,233.544998
168,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000168.lda,10336,412903.678,5280941.016,297.209991
169,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000169.lda,32130,412908.907,5280945.765,301.100006
170,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000170.lda,37162,412925.202,5280953.529,299.244995
171,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000171.lda,59308,413103.548,5280968.233,272.94101
172,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000172.lda,27535,413103.775,5281021.315,266.367004
173,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000173.lda,5012,413116.329,5281023.447,266.242004
174,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000174.lda,48962,413010.89,5281076.736,324.897003
175,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000175.lda,41593,413034.512,5281080.424,320.856995
176,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000176.lda,31344,412953.937,5280853.049,254.940002
177,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000177.lda,91253,413033.257,5280902.784,288.575012
178,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000178.lda,25597,413164.655,5280909.024,222.300003
179,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000179.lda,78110,413045.207,5280909.2,285.235992
180,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000180.lda,75296,413111.05,5280909.035,260.871002
181,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000181.lda,17962,413168.872,5280924.616,229.050003
182,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000182.lda,18792,413183.454,5280932.022,220.690002
183,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000183.lda,117452,413045.636,5280936.925,292.182007
184,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000184.lda,56364,413053.051,5280953.507,288.591003
185,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000185.lda,47436,412917.59,5280972.869,312.337006
186,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000186.lda,61473,413099.167,5280983.89,277.658997
187,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000187.lda,62265,413127.173,5280985.023,257.678986
188,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000188.lda,28764,413124.76,5280989.766,260.276001
189,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000189.lda,74210,413015.103,5280994.135,317.768005
191,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000191.lda,21096,413110.322,5281025.208,267.444
192,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000192.lda,22190,413074.09,5281044.415,281.29599
193,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000193.lda,27822,413071.596,5281053.117,289.07901
194,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000194.lda,30336,413044.486,5281073.883,312.920013
195,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000195.lda,31756,413060.658,5281078.767,308.908997
196,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000196.lda,81464,413122.299,5280885.713,243.192001
197,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000197.lda,45310,413103.79,5280887.087,253.082993
198,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000198.lda,48235,413137.975,5280898.078,239.822998
199,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000199.lda,26259,413157.177,5280900.268,225.25
